language_1,language_2,jaccard,model,source
ko,yo,0.017673048600883652,gemma3,canonical_active
ru,yo,0.018158236057068743,gemma3,canonical_active
tr,yo,0.05992010652463382,gemma3,canonical_active
ur,yo,0.016666666666666666,gemma3,canonical_active
yo,yo,1.0,gemma3,canonical_active
de,de,1.0,gemma3,canonical_revoked
en,de,0.03480589022757698,gemma3,canonical_revoked
hi,de,0.015776699029126214,gemma3,canonical_revoked
ig,de,0.05333333333333334,gemma3,canonical_revoked
it,de,0.03819444444444445,gemma3,canonical_revoked
ko,de,0.014018691588785047,gemma3,canonical_revoked
ru,de,0.014690451206715634,gemma3,canonical_revoked
tr,de,0.03059071729957806,gemma3,canonical_revoked
ur,de,0.013064133016627079,gemma3,canonical_revoked
yo,de,0.0380952380952381,gemma3,canonical_revoked
de,en,0.03480589022757698,gemma3,canonical_revoked
en,en,1.0,gemma3,canonical_revoked
hi,en,0.019667170953101363,gemma3,canonical_revoked
ig,en,0.05378151260504202,gemma3,canonical_revoked
it,en,0.04261363636363636,gemma3,canonical_revoked
ko,en,0.017316017316017316,gemma3,canonical_revoked
ru,en,0.017721518987341773,gemma3,canonical_revoked
tr,en,0.031685678073510776,gemma3,canonical_revoked
ur,en,0.016200294550810016,gemma3,canonical_revoked
yo,en,0.04712041884816754,gemma3,canonical_revoked
de,hi,0.015776699029126214,gemma3,canonical_revoked
en,hi,0.019667170953101363,gemma3,canonical_revoked
hi,hi,1.0,gemma3,canonical_revoked
ig,hi,0.019174041297935103,gemma3,canonical_revoked
it,hi,0.016560509554140127,gemma3,canonical_revoked
ko,hi,0.014511873350923483,gemma3,canonical_revoked
ru,hi,0.014018691588785047,gemma3,canonical_revoked
tr,hi,0.015028901734104046,gemma3,canonical_revoked
ur,hi,0.014804845222072678,gemma3,canonical_revoked
yo,hi,0.019969278033794162,gemma3,canonical_revoked
de,ig,0.05333333333333334,gemma3,canonical_revoked
en,ig,0.05378151260504202,gemma3,canonical_revoked
hi,ig,0.019174041297935103,gemma3,canonical_revoked
ig,ig,1.0,gemma3,canonical_revoked
it,ig,0.05625879043600562,gemma3,canonical_revoked
ko,ig,0.016901408450704224,gemma3,canonical_revoked
ru,ig,0.01734820322180917,gemma3,canonical_revoked
tr,ig,0.06130268199233716,gemma3,canonical_revoked
ur,ig,0.015804597701149427,gemma3,canonical_revoked
yo,ig,0.13211009174311927,gemma3,canonical_revoked
de,it,0.03819444444444445,gemma3,canonical_revoked
en,it,0.04261363636363636,gemma3,canonical_revoked
hi,it,0.016560509554140127,gemma3,canonical_revoked
ig,it,0.05625879043600562,gemma3,canonical_revoked
it,it,1.0,gemma3,canonical_revoked
ko,it,0.014687882496940025,gemma3,canonical_revoked
ru,it,0.014207650273224045,gemma3,canonical_revoked
tr,it,0.045707915273132664,gemma3,canonical_revoked
ur,it,0.0136986301369863,gemma3,canonical_revoked
yo,it,0.05693430656934306,gemma3,canonical_revoked
de,ko,0.014018691588785047,gemma3,canonical_revoked
en,ko,0.017316017316017316,gemma3,canonical_revoked
hi,ko,0.014511873350923483,gemma3,canonical_revoked
ig,ko,0.016901408450704224,gemma3,canonical_revoked
it,ko,0.014687882496940025,gemma3,canonical_revoked
ko,ko,1.0,gemma3,canonical_revoked
ru,ko,0.012387387387387387,gemma3,canonical_revoked
tr,ko,0.013377926421404682,gemma3,canonical_revoked
ur,ko,0.011597938144329897,gemma3,canonical_revoked
yo,ko,0.017569546120058566,gemma3,canonical_revoked
de,ru,0.014690451206715634,gemma3,canonical_revoked
en,ru,0.017721518987341773,gemma3,canonical_revoked
hi,ru,0.014018691588785047,gemma3,canonical_revoked
ig,ru,0.01734820322180917,gemma3,canonical_revoked
it,ru,0.014207650273224045,gemma3,canonical_revoked
ko,ru,0.012387387387387387,gemma3,canonical_revoked
ru,ru,1.0,gemma3,canonical_revoked
tr,ru,0.01306532663316583,gemma3,canonical_revoked
ur,ru,0.011441647597254004,gemma3,canonical_revoked
yo,ru,0.017948717948717947,gemma3,canonical_revoked
de,tr,0.03059071729957806,gemma3,canonical_revoked
en,tr,0.031685678073510776,gemma3,canonical_revoked
hi,tr,0.015028901734104046,gemma3,canonical_revoked
ig,tr,0.06130268199233716,gemma3,canonical_revoked
it,tr,0.045707915273132664,gemma3,canonical_revoked
ko,tr,0.013377926421404682,gemma3,canonical_revoked
ru,tr,0.01306532663316583,gemma3,canonical_revoked
tr,tr,1.0,gemma3,canonical_revoked
ur,tr,0.01245753114382786,gemma3,canonical_revoked
yo,tr,0.05928853754940711,gemma3,canonical_revoked
de,ur,0.013064133016627079,gemma3,canonical_revoked
en,ur,0.016200294550810016,gemma3,canonical_revoked
hi,ur,0.014804845222072678,gemma3,canonical_revoked
ig,ur,0.015804597701149427,gemma3,canonical_revoked
it,ur,0.0136986301369863,gemma3,canonical_revoked
ko,ur,0.011597938144329897,gemma3,canonical_revoked
ru,ur,0.011441647597254004,gemma3,canonical_revoked
tr,ur,0.01245753114382786,gemma3,canonical_revoked
ur,ur,1.0,gemma3,canonical_revoked
yo,ur,0.016442451420029897,gemma3,canonical_revoked
de,yo,0.0380952380952381,gemma3,canonical_revoked
en,yo,0.04712041884816754,gemma3,canonical_revoked
hi,yo,0.019969278033794162,gemma3,canonical_revoked
ig,yo,0.13211009174311927,gemma3,canonical_revoked
it,yo,0.05693430656934306,gemma3,canonical_revoked
ko,yo,0.017569546120058566,gemma3,canonical_revoked
ru,yo,0.017948717948717947,gemma3,canonical_revoked
tr,yo,0.05928853754940711,gemma3,canonical_revoked
ur,yo,0.016442451420029897,gemma3,canonical_revoked
yo,yo,1.0,gemma3,canonical_revoked
de,de,1.0,llama3,flores
en,de,0.15509433962264152,llama3,flores
hi,de,0.031082360366046072,llama3,flores
ig,de,0.2356897324764609,llama3,flores
it,de,0.22537878787878787,llama3,flores
ko,de,0.06394061726787342,llama3,flores
ru,de,0.032647344036202994,llama3,flores
tr,de,0.20631150322361724,llama3,flores
ur,de,0.027432861680623737,llama3,flores
yo,de,0.2091282653360728,llama3,flores
de,en,0.15509433962264152,llama3,flores
en,en,1.0,llama3,flores
hi,en,0.026285858713509413,llama3,flores
ig,en,0.17941352483542788,llama3,flores
it,en,0.18432539682539684,llama3,flores
ko,en,0.057446347279427705,llama3,flores
ru,en,0.02816642120765832,llama3,flores
tr,en,0.13772288261515603,llama3,flores
ur,en,0.023403504645419265,llama3,flores
yo,en,0.1886039196709412,llama3,flores
de,hi,0.031082360366046072,llama3,flores
en,hi,0.026285858713509413,llama3,flores
hi,hi,1.0,llama3,flores
ig,hi,0.05283210566421133,llama3,flores
it,hi,0.032145816072908034,llama3,flores
ko,hi,0.050623052959501556,llama3,flores
ru,hi,0.034476226558060236,llama3,flores
tr,hi,0.03202397854551191,llama3,flores
ur,hi,0.05573192239858907,llama3,flores
yo,hi,0.04759480783914482,llama3,flores
de,ig,0.2356897324764609,llama3,flores
en,ig,0.17941352483542788,llama3,flores
hi,ig,0.05283210566421133,llama3,flores
ig,ig,1.0,llama3,flores
it,ig,0.24464592777864624,llama3,flores
ko,ig,0.09242109242109242,llama3,flores
ru,ig,0.04064805439027919,llama3,flores
tr,ig,0.2454846478025286,llama3,flores
ur,ig,0.041657482918227906,llama3,flores
yo,ig,0.38536238749407864,llama3,flores
de,it,0.22537878787878787,llama3,flores
en,it,0.18432539682539684,llama3,flores
hi,it,0.032145816072908034,llama3,flores
ig,it,0.24464592777864624,llama3,flores
it,it,1.0,llama3,flores
ko,it,0.06659433066594331,llama3,flores
ru,it,0.03433667781493868,llama3,flores
tr,it,0.2076241548146421,llama3,flores
ur,it,0.02699442014779068,llama3,flores
yo,it,0.23259788688626476,llama3,flores
de,ko,0.06394061726787342,llama3,flores
en,ko,0.057446347279427705,llama3,flores
hi,ko,0.050623052959501556,llama3,flores
ig,ko,0.09242109242109242,llama3,flores
it,ko,0.06659433066594331,llama3,flores
ko,ko,1.0,llama3,flores
ru,ko,0.03154528274458497,llama3,flores
tr,ko,0.06070826306913996,llama3,flores
ur,ko,0.04,llama3,flores
yo,ko,0.08488964346349745,llama3,flores
de,ru,0.032647344036202994,llama3,flores
en,ru,0.02816642120765832,llama3,flores
hi,ru,0.034476226558060236,llama3,flores
ig,ru,0.04064805439027919,llama3,flores
it,ru,0.03433667781493868,llama3,flores
ko,ru,0.03154528274458497,llama3,flores
ru,ru,1.0,llama3,flores
tr,ru,0.03140122593827293,llama3,flores
ur,ru,0.027376296548206086,llama3,flores
yo,ru,0.03660300925925926,llama3,flores
de,tr,0.20631150322361724,llama3,flores
en,tr,0.13772288261515603,llama3,flores
hi,tr,0.03202397854551191,llama3,flores
ig,tr,0.2454846478025286,llama3,flores
it,tr,0.2076241548146421,llama3,flores
ko,tr,0.06070826306913996,llama3,flores
ru,tr,0.03140122593827293,llama3,flores
tr,tr,1.0,llama3,flores
ur,tr,0.027256994519757716,llama3,flores
yo,tr,0.22126777251184834,llama3,flores
de,ur,0.027432861680623737,llama3,flores
en,ur,0.023403504645419265,llama3,flores
hi,ur,0.05573192239858907,llama3,flores
ig,ur,0.041657482918227906,llama3,flores
it,ur,0.02699442014779068,llama3,flores
ko,ur,0.04,llama3,flores
ru,ur,0.027376296548206086,llama3,flores
tr,ur,0.027256994519757716,llama3,flores
ur,ur,1.0,llama3,flores
yo,ur,0.03617913081844253,llama3,flores
de,yo,0.2091282653360728,llama3,flores
en,yo,0.1886039196709412,llama3,flores
hi,yo,0.04759480783914482,llama3,flores
ig,yo,0.38536238749407864,llama3,flores
it,yo,0.23259788688626476,llama3,flores
ko,yo,0.08488964346349745,llama3,flores
ru,yo,0.03660300925925926,llama3,flores
tr,yo,0.22126777251184834,llama3,flores
ur,yo,0.03617913081844253,llama3,flores
yo,yo,1.0,llama3,flores
de,de,1.0,llama3,canonical_active
en,de,0.038314176245210725,llama3,canonical_active
hi,de,0.01734820322180917,llama3,canonical_active
ig,de,0.07989347536617843,llama3,canonical_active
it,de,0.06564551422319474,llama3,canonical_active
ko,de,0.015367727771679473,llama3,canonical_active
ru,de,0.015045135406218655,llama3,canonical_active
tr,de,0.058394160583941604,llama3,canonical_active
ur,de,0.015503875968992248,llama3,canonical_active
yo,de,0.06336088154269973,llama3,canonical_active
de,en,0.038314176245210725,llama3,canonical_active
en,en,1.0,llama3,canonical_active
hi,en,0.022653721682847898,llama3,canonical_active
ig,en,0.05782312925170068,llama3,canonical_active
it,en,0.053691275167785234,llama3,canonical_active
ko,en,0.019390581717451522,llama3,canonical_active
ru,en,0.018564356435643563,llama3,canonical_active
tr,en,0.03638644918444166,llama3,canonical_active
ur,en,0.020512820512820513,llama3,canonical_active
yo,en,0.052346570397111915,llama3,canonical_active
de,hi,0.01734820322180917,llama3,canonical_active
en,hi,0.022653721682847898,llama3,canonical_active
hi,hi,1.0,llama3,canonical_active
ig,hi,0.022727272727272728,llama3,canonical_active
it,hi,0.01797175866495507,llama3,canonical_active
ko,hi,0.01639344262295082,llama3,canonical_active
ru,hi,0.01589242053789731,llama3,canonical_active
tr,hi,0.01707317073170732,llama3,canonical_active
ur,hi,0.02023608768971332,llama3,canonical_active
yo,hi,0.024263431542461005,llama3,canonical_active
de,ig,0.07989347536617843,llama3,canonical_active
en,ig,0.05782312925170068,llama3,canonical_active
hi,ig,0.022727272727272728,llama3,canonical_active
ig,ig,1.0,llama3,canonical_active
it,ig,0.08,llama3,canonical_active
